username,user id,access hash,group,group id,status
campingarunner,230907715,-8291099517267459541,Xyliase Chat,1452968516,2022-06-05 09:40:07+00:00
pepe_Sh0p,1650582862,9202878152597328884,Xyliase Chat,1452968516,2022-06-05 19:06:20+00:00
giotronics,912982888,-8010723522401837758,Xyliase Chat,1452968516,2022-06-05 13:29:17+00:00
berlin_AXA,1720393474,-5665227319059773921,Xyliase Chat,1452968516,2022-06-05 21:46:19+00:00
Ayena999,1974017759,-7479078386956586577,Xyliase Chat,1452968516,UserStatusLastWeek
Bright,943077613,-701067729974084840,Xyliase Chat,1452968516,2022-06-05 17:08:27+00:00
Elysion01,1462708275,6296060200881832263,Xyliase Chat,1452968516,2022-06-05 11:12:28+00:00
Austinsupport,1643990394,3837298247576353076,Xyliase Chat,1452968516,UserStatusRecently
pluetaha,1310947416,-4340047885934312790,Xyliase Chat,1452968516,UserStatusRecently
,1295658646,-7329592250385645621,Xyliase Chat,1452968516,2022-02-21 21:42:17+00:00
theiames,1071911442,4811288375507071500,Xyliase Chat,1452968516,UserStatusRecently
xElfie,544790748,2836100344737674061,Xyliase Chat,1452968516,UserStatusRecently
HeavensWaffles,903904752,2059064865480638597,Xyliase Chat,1452968516,UserStatusRecently
